rho	mt	ms	pve	alpha	power
25	50	25	0.6	1e-05	0.17
25	50	25	0.7	0.05	0.94
25	50	25	0.7	0.001	0.625
25	50	25	0.7	1e-05	0.225
25	50	25	0.8	0.05	0.96
25	50	25	0.8	0.001	0.67
25	50	25	0.8	1e-05	0.335
25	50	25	0.9	0.05	0.965
25	50	25	0.9	0.001	0.77
25	50	25	0.9	1e-05	0.365
25	50	25	1	0.05	1
25	50	25	1	0.001	0.83
25	50	25	1	1e-05	0.5
50	50	25	0.1	0.05	0.285
50	50	25	0.1	0.001	0.04
50	50	25	0.1	1e-05	0
50	50	25	0.2	0.05	0.555
50	50	25	0.2	0.001	0.145
50	50	25	0.2	1e-05	0.015
50	50	25	0.3	0.05	0.69
50	50	25	0.3	0.001	0.235
50	50	25	0.3	1e-05	0.04
50	50	25	0.4	0.05	0.795
50	50	25	0.4	0.001	0.36
50	50	25	0.4	1e-05	0.075
50	50	25	0.5	0.05	0.865
50	50	25	0.5	0.001	0.49
50	50	25	0.5	1e-05	0.135
50	50	25	0.6	0.05	0.91
50	50	25	0.6	0.001	0.545
50	50	25	0.6	1e-05	0.15
50	50	25	0.7	0.05	0.95
50	50	25	0.7	0.001	0.65
50	50	25	0.7	1e-05	0.275
50	50	25	0.8	0.05	0.98
50	50	25	0.8	0.001	0.8
50	50	25	0.8	1e-05	0.31
50	50	25	0.9	0.05	0.965
50	50	25	0.9	0.001	0.86
50	50	25	0.9	1e-05	0.455
50	50	25	1	0.05	0.99
50	50	25	1	0.001	0.88
50	50	25	1	1e-05	0.515
75	50	25	0.1	0.05	0.325
75	50	25	0.1	0.001	0.035
75	50	25	0.1	1e-05	0
75	50	25	0.2	0.05	0.62
75	50	25	0.2	0.001	0.105
75	50	25	0.2	1e-05	0.005
75	50	25	0.3	0.05	0.715
75	50	25	0.3	0.001	0.25
75	50	25	0.3	1e-05	0.035
75	50	25	0.4	0.05	0.815
75	50	25	0.4	0.001	0.445
75	50	25	0.4	1e-05	0.09
75	50	25	0.5	0.05	0.93
75	50	25	0.5	0.001	0.57
75	50	25	0.5	1e-05	0.195
75	50	25	0.6	0.05	0.97
75	50	25	0.6	0.001	0.695
75	50	25	0.6	1e-05	0.25
75	50	25	0.7	0.05	0.97
75	50	25	0.7	0.001	0.8
75	50	25	0.7	1e-05	0.44
75	50	25	0.8	0.05	0.985
75	50	25	0.8	0.001	0.82
75	50	25	0.8	1e-05	0.47
75	50	25	0.9	0.05	0.995
75	50	25	0.9	0.001	0.88
75	50	25	0.9	1e-05	0.625
75	50	25	1	0.05	1
75	50	25	1	0.001	0.95
75	50	25	1	1e-05	0.685
0	75	0	0.1	0.05	0.19
0	75	0	0.1	0.001	0.015
0	75	0	0.1	1e-05	0.005
0	75	0	0.2	0.05	0.275
0	75	0	0.2	0.001	0.03
0	75	0	0.2	1e-05	0
0	75	0	0.3	0.05	0.38
0	75	0	0.3	0.001	0.07
0	75	0	0.3	1e-05	0
0	75	0	0.4	0.05	0.445
0	75	0	0.4	0.001	0.08
0	75	0	0.4	1e-05	0
0	75	0	0.5	0.05	0.615
0	75	0	0.5	0.001	0.145
0	75	0	0.5	1e-05	0.01
0	75	0	0.6	0.05	0.625
0	75	0	0.6	0.001	0.13
0	75	0	0.6	1e-05	0.02
0	75	0	0.7	0.05	0.7
0	75	0	0.7	0.001	0.185
0	75	0	0.7	1e-05	0.015
0	75	0	0.8	0.05	0.79
0	75	0	0.8	0.001	0.255
0	75	0	0.8	1e-05	0.035
0	75	0	0.9	0.05	0.815
0	75	0	0.9	0.001	0.32
0	75	0	0.9	1e-05	0.065
0	75	0	1	0.05	0.84
0	75	0	1	0.001	0.345
0	75	0	1	1e-05	0.115
25	75	0	0.1	0.05	0.17
25	75	0	0.1	0.001	0.015
25	75	0	0.1	1e-05	0
25	75	0	0.2	0.05	0.32
25	75	0	0.2	0.001	0.025
25	75	0	0.2	1e-05	0.005
25	75	0	0.3	0.05	0.455
25	75	0	0.3	0.001	0.07
25	75	0	0.3	1e-05	0.005
25	75	0	0.4	0.05	0.52
25	75	0	0.4	0.001	0.13
25	75	0	0.4	1e-05	0.01
25	75	0	0.5	0.05	0.59
25	75	0	0.5	0.001	0.135
25	75	0	0.5	1e-05	0.015
25	75	0	0.6	0.05	0.66
25	75	0	0.6	0.001	0.2
25	75	0	0.6	1e-05	0.02
25	75	0	0.7	0.05	0.695
25	75	0	0.7	0.001	0.235
25	75	0	0.7	1e-05	0.025
